Player,Tm,Age,MP,WA_z,bucket,salary_25,years,npv,tier,multiplier,npv_effective
Steven Adams,HOU,32,730.0,-0.3999916529330704,open_negotiation,14130434.0,3,-34923790.36343099,first_apron,2.3,-80324717.83589128
Lonzo Ball,CLE,28,728.0,-0.6907973325007429,open_negotiation,10000000.0,1,-10558758.68230366,second_apron,3.1,-32732151.915141344
Tyler Kolek,NYK,24,727.0,-0.5149995488072913,min,2191897.0,3,-6235544.819174599,first_apron,2.3,-14341753.084101576
Grant Williams,CHO,27,711.0,-0.2554102981197642,open_negotiation,13645500.0,2,-24779193.089602962,above_cap_below_tax,1.0,-24779193.089602962
Devin Carter,SAC,23,700.0,-0.8895966953690391,rookie_scale,4923720.0,3,-20754985.270786904,above_cap_below_tax,1.0,-20754985.270786904
Jett Howard,ORL,22,695.0,-0.6645098134437784,rookie_scale,5529720.0,2,-13542338.08592961,above_cap_below_tax,1.0,-13542338.08592961
Jordan Hawkins,NOP,23,692.0,-1.254336022284425,rookie_scale,4741320.0,2,-17222910.939358715,above_cap_below_tax,1.0,-17222910.939358715
Rasheer Fleming,PHO,21,673.0,-0.8797388757226773,rookie_scale,1272870.0,4,-14436974.271141216,above_cap_below_tax,1.0,-14436974.271141216
Tre Mann,CHO,24,669.0,-1.099896847824757,open_negotiation,8000000.0,3,-29480164.352449678,above_cap_below_tax,1.0,-29480164.352449678
Gary Harris,MIL,31,661.0,-0.8074481983160242,open_negotiation,3634153.0,2,-9025821.263123536,above_cap_below_tax,1.0,-9025821.263123536
Johnny Furphy,IND,21,643.0,-0.9290279739544863,rookie_scale,1955377.0,3,-11720052.29101814,above_cap_below_tax,1.0,-11720052.29101814
Mohamed Diawara,NYK,20,634.0,-0.7302286110861901,rookie_scale,1272870.0,1,-1994596.290558503,first_apron,2.3,-4587571.468284557
Zeke Nnaji,DEN,25,626.0,-0.8633091763120743,open_negotiation,8177778.0,3,-25665445.796603583,above_cap_below_tax,1.0,-25665445.796603583
Anthony Davis,DAL,32,626.0,-0.35398849458338205,max,54126450.0,3,-163910635.81432188,above_cap_below_tax,1.0,-163910635.81432188
Dorian Finney-Smith,HOU,32,620.0,-0.9733881623631142,open_negotiation,12700000.0,4,-52969929.356306285,first_apron,2.3,-121830837.51950444
Kam Jones,IND,23,616.0,-1.1442570362333853,rookie_scale,1272870.0,4,-17616871.30878051,above_cap_below_tax,1.0,-17616871.30878051
Kevin Love,UTA,37,613.0,-0.5642886470391001,open_negotiation,4150000.0,1,-4185904.272486036,above_cap_below_tax,1.0,-4185904.272486036
Taurean Prince,MIL,31,611.0,-0.8846677855458581,min,3303774.0,2,-9292267.616037432,above_cap_below_tax,1.0,-9292267.616037432
Jase Richardson,ORL,20,587.0,-0.7581591000842152,rookie_scale,2983320.0,4,-19156064.376800165,above_cap_below_tax,1.0,-19156064.376800165
Tidjane SalaÃ¼n,CHO,20,575.0,-0.5593597372159193,rookie_scale,7863240.0,3,-26057767.16005435,above_cap_below_tax,1.0,-26057767.16005435
Ja Morant,MEM,26,569.0,-0.78444661914118,max,39446090.0,3,-122874385.87974735,above_cap_below_tax,1.0,-122874385.87974735
Domantas Sabonis,SAC,29,564.0,-0.5199284586304721,max,42336000.0,3,-128965716.93246293,above_cap_below_tax,1.0,-128965716.93246293
Dalton Knecht,LAL,24,553.0,-0.9010974849564611,open_negotiation,4010160.0,3,-18088452.563664667,first_apron,2.8,-50647667.178261064
Drew Eubanks,SAC,28,552.0,-0.8682380861352552,min,2296274.0,1,-3588386.919450456,above_cap_below_tax,1.0,-3588386.919450456
Tyrese Proctor,CLE,21,545.0,-0.8074481983160242,rookie_scale,1272870.0,4,-13203481.758898288,second_apron,3.1,-40930793.45258469
Terrence Shannon Jr.,MIN,25,538.0,-0.8025192884928433,min,2674080.0,3,-12814524.681304593,first_apron,2.3,-29473406.76700056
Keaton Wallace,ATL,26,536.0,-0.8074481983160242,min,2296274.0,1,-3337145.190057572,above_cap_below_tax,1.0,-3337145.190057572
Cole Anthony,MIL,25,527.0,-1.137685156469144,open_negotiation,5996274.0,3,-19712398.97699365,above_cap_below_tax,1.0,-19712398.97699365
Jayson Tatum,BOS,27,522.0,-0.215979019534317,max,54126450.0,5,-276815420.8491927,first_apron,2.3,-636675467.9531431
Jonathan Isaac,ORL,28,521.0,-0.6858684226775622,open_negotiation,15000000.0,4,-56187429.640241265,above_cap_below_tax,1.0,-56187429.640241265
Jamison Battle,TOR,24,517.0,-0.7745887994948183,min,1955377.0,2,-5971555.464855118,above_cap_below_tax,1.0,-5971555.464855118
Asa Newell,ATL,20,500.0,-0.6365793244457533,rookie_scale,3237480.0,4,-17841606.772056676,above_cap_below_tax,1.0,-17841606.772056676
Ariel Hukporti,NYK,23,498.0,-0.6809395128543813,rookie_scale,1955377.0,1,-2473393.7802399485,first_apron,2.3,-5688805.694551881
D'Angelo Russell,DAL,29,495.0,-0.878095905781617,open_negotiation,5685000.0,2,-13784397.259109741,above_cap_below_tax,1.0,-13784397.259109741
Cam Christie,LAC,20,480.0,-0.9783170721862952,rookie_scale,1955377.0,3,-12845342.835004795,taxpayer,2.0,-25690685.67000959
